linha_planilha;secretaria;unidade;programa;acao;natureza;desc_sub;valor;vinculo_atual;motivo;vinculo_proposto
624;09 - SECRETARIA DA SAÚDE;009-DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.013-Manutenção de Equipamentos Públicos - Atenção Especializada ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;"1674756,00";;vínculo em branco;01.310.0000
625;09 - SECRETARIA DA SAÚDE;010-DIRETORIA GERAL DE URGÊNCIA E EMERGÊNCIA;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;"2007852,00";;vínculo em branco;01.310.0000
626;09 - SECRETARIA DA SAÚDE;008-DIRETORIA GERAL DE ATENÇÃO PRIMÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.012-Manutenção de Equipamentos Públicos - Atenção Primária ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;"230852,52";;vínculo em branco;01.310.0000
627;09 - SECRETARIA DA SAÚDE;010-DIRETORIA GERAL DE URGÊNCIA E EMERGÊNCIA;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE MÁQUINAS E EQUIPAMENTOS;"71334,72";;vínculo em branco;01.310.0000
628;09 - SECRETARIA DA SAÚDE;006-HOSPITAL E MATERNIDADE MUNICIPAL AMADOR AGUIAR;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"4416547,20";;vínculo em branco;01.310.0000
629;09 - SECRETARIA DA SAÚDE;006-HOSPITAL E MATERNIDADE MUNICIPAL AMADOR AGUIAR;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;FORNECIMENTO DE ALIMENTAÇÃO;"509494,80";;vínculo em branco;01.310.0000
630;09 - SECRETARIA DA SAÚDE;010-DIRETORIA GERAL DE URGÊNCIA E EMERGÊNCIA;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;"177646,20";;vínculo em branco;01.310.0000
631;09 - SECRETARIA DA SAÚDE;006-HOSPITAL E MATERNIDADE MUNICIPAL AMADOR AGUIAR;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;LOCAÇÃO DE MÁQUINAS E EQUIPAMENTOS;"85639,20";;vínculo em branco;01.310.0000
632;09 - SECRETARIA DA SAÚDE;010-DIRETORIA GERAL DE URGÊNCIA E EMERGÊNCIA;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.30.00-MATERIAL DE CONSUMO;GÁS ENGARRAFADO;"1469614,92";;vínculo em branco;01.310.0000
633;09 - SECRETARIA DA SAÚDE;006-HOSPITAL E MATERNIDADE MUNICIPAL AMADOR AGUIAR;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.30.00-MATERIAL DE CONSUMO;GÁS ENGARRAFADO;"1406585,76";;vínculo em branco;01.310.0000
634;09 - SECRETARIA DA SAÚDE;008-DIRETORIA GERAL DE ATENÇÃO PRIMÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.012-Manutenção de Equipamentos Públicos - Atenção Primária ;3.3.90.30.00-MATERIAL DE CONSUMO;GÁS ENGARRAFADO;"68127,24";;vínculo em branco;01.310.0000
635;09 - SECRETARIA DA SAÚDE;009-DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.013-Manutenção de Equipamentos Públicos - Atenção Especializada ;3.3.90.30.00-MATERIAL DE CONSUMO;GÁS ENGARRAFADO;"59668,80";;vínculo em branco;01.310.0000
636;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SEGUROS EM GERAL;"260000,00";;vínculo em branco;01.310.0000
637;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL DE LIMPEZA E PRODUTOS DE HIGIENIZAÇÃO;"2508000,00";;vínculo em branco;01.310.0000
638;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL DE COPA E COZINHA;"1103539,00";;vínculo em branco;01.310.0000
639;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL DE EXPEDIENTE;"1162001,00";;vínculo em branco;01.310.0000
640;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.93.00-INDENIZAÇÕES E RESTITUIÇÕES;RESTITUIÇÕES;"250000,00";;vínculo em branco;01.310.0000
641;09 - SECRETARIA DA SAÚDE;006-HOSPITAL E MATERNIDADE MUNICIPAL AMADOR AGUIAR;0015-Atenção e Cuidado em Saúde​;2.014-Manutenção de Equipamentos Públicos - Atenção Hospitalar e Urgência e Emergência ;3.3.90.93.00-INDENIZAÇÕES E RESTITUIÇÕES;INDENIZAÇÕES;"1740000,00";;vínculo em branco;01.310.0000
642;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.93.00-INDENIZAÇÕES E RESTITUIÇÕES;INDENIZAÇÕES;"3696000,00";;vínculo em branco;01.310.0000
643;09 - SECRETARIA DA SAÚDE;009-DIRETORIA GERAL DA ATENÇÃO SECUNDÁRIA EM SAÚDE;0015-Atenção e Cuidado em Saúde​;2.013-Manutenção de Equipamentos Públicos - Atenção Especializada ;3.3.90.93.00-INDENIZAÇÕES E RESTITUIÇÕES;INDENIZAÇÕES;"792000,00";;vínculo em branco;01.310.0000
644;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.30.00-MATERIAL DE CONSUMO;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;"200000,00";;vínculo em branco;01.310.0000
645;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;"2680000,00";;vínculo em branco;01.310.0000
646;09 - SECRETARIA DA SAÚDE;015-DIRETORIA GERAL DA GESTÃO DE SAÚDE;0014-Gestão em Saúde​;2.011-Manutenção de Equipamentos Públicos ;3.3.90.39.00-OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;"200000,00";;vínculo em branco;01.310.0000
