UG;secretaria;unidade;funcao;subfuncao;programa;acao;natureza;Programática_LOA;secretaria;unidade;funcao;subfuncao;programa;acao;natureza;desc_sub;processo; valor ;Peça Orçamentária;Vínculo;Tipo de despesa;INICIADO;OBS.
11;11;001;04;122;0011;1.003;4.4.90.51.00;11.001.04.122.0011.1.003.4.4.90.51.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;1.003 - Implantação de Novas Unidades;4.4.90.51.00 - OBRAS E INSTALAÇÕES;OBRAS EM ANDAMENTO;013/2026-EXPANSÃO VERTICALIZAÇÃO;14357865.72;LOA;01.110.0000;1. Projeto;SIM;JÁ INICIOU/ TERA 3º FASE
11;11;001;04;122;0011;2.011;3.3.90.30.00;11.001.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;OUTROS MATERIAIS DE CONSUMO;2681/2025;15000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;3.3.90.30.00;11.001.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;OUTROS MATERIAIS DE CONSUMO;257/2024 -CONSTRUÇÃO;1000000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;3.3.90.30.00;11.001.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL DE COPA E COZINHA;581/2025;100000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;3.3.90.30.00;11.001.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL DE PROTEÇÃO E SEGURANÇA;725/2025;190000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;3.3.90.30.00;11.001.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL DE EXPEDIENTE;581/2025;30000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;3.3.90.30.00;11.001.04.122.0011.2.011.3.3.90.30.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.30.00 - MATERIAL DE CONSUMO;MATERIAL DE LIMPEZA E PRODUTOS DE HIGIENIZAÇÃO;850/2024;100000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;3.3.90.39.00;11.001.04.122.0011.2.011.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS;—;120000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;3.3.90.39.00;11.001.04.122.0011.2.011.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;MANUTENÇÃO E CONSERVAÇÃO DE BENS IMÓVEIS;7373/203-1142/2026 -ATA DE PROPRIOS;2500000;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;3.3.90.39.00;11.001.04.122.0011.2.011.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;LIMPEZA E CONSERVAÇÃO;2487/2021-LOGRADOUROS (CONTRATO CONTINUO);28730415.21;LOA;01.110.0000;2. Atividade;;
11;11;001;04;122;0011;2.011;3.3.90.39.00;11.001.04.122.0011.2.011.3.3.90.39.00;11 - SECRETARIA DE SERVIÇOS E OBRAS;001-GABINETE DA SECRETARIA DE SERVIÇOS E OBRAS;4-ADMINISTRAÇÃO;122-ADMINISTRAÇÃO GERAL;0011 - Zeladoria Urbana e Cuidados com a Cidade;2.011 - Manutenção de Equipamentos Públicos;3.3.90.39.00 - OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;SERVIÇOS BANCÁRIOS + TAXAS ART /RRT;—;10000;LOA;01.110.0000;2. Atividade;;
