PROGRAMÁTICA,VALOR FINAL ARREDONDADO
04.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
04.001.04.122.0001.2.006.3.3.90.39.01.110.0000,"1,00 "
04.001.04.122.0001.2.006.3.3.90.93.01.110.0000,"1,00 "
04.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"17.000,00 "
04.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"13.500,00 "
04.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"2.000,00 "
04.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"6.500,00 "
04.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"6.500,00 "
04.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"10.000,00 "
05.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
05.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"22.695.703,00 "
05.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"2.318.441,00 "
05.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"4.260.756,00 "
05.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
05.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"76.827,00 "
05.001.04.122.0001.2.005.3.3.90.30.01.110.0000,"1,00 "
05.001.04.122.0001.2.005.3.3.90.39.01.110.0000,"1,00 "
05.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
05.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"25.000,00 "
05.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"0,00 "
05.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"0,00 "
06.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"17.734.773,00 "
06.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"828.660,00 "
06.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"3.150.831,00 "
06.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"3,00 "
06.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"288.192,00 "
06.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
06.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"20.000,00 "
06.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"0,00 "
06.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"0,00 "
06.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"1.000,00 "
06.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"5.000,00 "
07.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"3.986.619,00 "
07.001.04.122.0001.2.001.3.1.90.11.02.100.0000,"1.259.999,00 "
07.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"3,00 "
07.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"668.147,00 "
07.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"422.014,00 "
07.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
07.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"59.790,00 "
07.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
07.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"2.500,00 "
07.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"2.000,00 "
07.001.11.122.0017.2.011.3.3.90.30.01.110.0000,"20.392,00 "
07.001.11.122.0017.2.011.3.3.90.30.01.110.0000,"0,00 "
07.001.11.122.0017.2.011.3.3.90.39.01.110.0000,"0,00 "
07.001.11.334.0017.2.004.3.3.90.30.01.110.0000,"5.000,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"505.608,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"126.402,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"126.402,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"50.561,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"505.608,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"530.889,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"14.485.670,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"3.412.854,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"1.339.862,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"1.011.216,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"480.328,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"379.206,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"2.426.919,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"328.646,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"783.693,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"50.561,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"379.206,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"404.487,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"126.402,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"227.524,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"176.963,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"75.842,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"75.842,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"25.281,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"379.206,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"75.842,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"25.281,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"505.608,00 "
07.001.11.334.0017.2.025.3.3.90.48.01.110.0000,"1.694.720,00 "
07.001.11.334.0017.2.033.3.3.90.30.01.110.0000,"1.500,00 "
07.001.11.334.0017.2.033.3.3.90.30.01.110.0000,"1.500,00 "
07.001.11.334.0017.2.033.3.3.90.30.01.110.0000,"2.000,00 "
07.001.11.334.0017.2.033.3.3.90.39.01.110.0000,"2.000,00 "
08.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"1.000.000,00 "
08.001.12.122.0001.2.001.3.1.90.11.01.110.0000,"1,00 "
08.001.12.122.0001.2.001.3.1.90.11.01.200.0000,"19.480.000,00 "
08.001.12.122.0001.2.001.3.1.90.13.01.110.0000,"1,00 "
08.001.12.122.0001.2.001.3.1.90.13.01.200.0000,"4.890.328,00 "
08.001.12.122.0001.2.001.3.1.91.13.01.200.0000,"5.604.061,00 "
08.001.12.122.0001.2.001.3.3.90.46.01.200.0000,"7.835.827,00 "
08.001.12.122.0001.2.001.3.3.90.49.01.200.0000,"977.658,00 "
08.001.12.122.0001.2.006.3.3.90.33.01.200.0000,"1,00 "
08.001.12.122.0001.2.011.3.3.90.30.01.110.0000,"100.000,00 "
08.001.12.122.0001.2.011.3.3.90.30.01.110.0000,"60.000,00 "
08.001.12.122.0001.2.011.3.3.90.39.01.110.0000,"30.000,00 "
08.001.12.122.0001.2.011.3.3.90.39.01.110.0000,"588.000,00 "
08.001.12.122.0001.2.011.3.3.90.39.01.200.0000,"1,00 "
08.001.12.122.0001.2.011.3.3.90.39.01.200.0000,"1,00 "
08.001.12.306.0016.2.011.3.3.90.39.01.200.0000,"750.000,00 "
08.001.12.361.0001.2.001.3.1.90.11.01.110.0000,"1,00 "
08.001.12.361.0001.2.001.3.1.90.11.01.110.0000,"1,00 "
08.001.12.361.0001.2.001.3.1.90.11.01.200.0000,"152.047.693,00 "
08.001.12.361.0001.2.001.3.1.90.11.02.261.0000,"209.233.146,00 "
08.001.12.361.0001.2.001.3.1.90.11.01.110.0000,"1,00 "
08.001.12.361.0001.2.001.3.1.90.11.02.262.0000,"21.759.505,00 "
08.001.12.361.0001.2.001.3.1.90.11.01.110.0000,"1,00 "
08.001.12.361.0001.2.001.3.1.90.11.02.264.2024,"0,00 "
08.001.12.361.0001.2.001.3.1.90.13.01.200.0000,"10.289.759,00 "
08.001.12.361.0001.2.001.3.1.90.13.02.261.0000,"3,00 "
08.001.12.361.0001.2.001.3.1.90.13.02.262.0000,"3,00 "
08.001.12.361.0001.2.001.3.1.91.13.01.200.0000,"61.544.586,00 "
08.001.12.361.0001.2.001.3.1.91.13.01.110.0000,"1,00 "
08.001.12.361.0001.2.001.3.1.91.13.02.264.2024,"0,00 "
08.001.12.361.0001.2.001.3.3.90.46.01.200.0000,"32.323.688,00 "
08.001.12.361.0001.2.001.3.3.90.46.02.262.0000,"5,00 "
08.001.12.361.0001.2.001.3.3.90.49.01.200.0000,"7.547.274,00 "
08.001.12.361.0002.2.005.3.3.90.30.01.110.0000,"0,00 "
08.001.12.361.0002.2.005.3.3.90.39.01.200.0000,"153.840,00 "
08.001.12.361.0016.2.011.3.3.90.30.01.110.0000,"3.975.232,00 "
08.001.12.361.0016.2.011.3.3.90.30.01.200.0000,"1,00 "
08.001.12.361.0016.2.011.3.3.90.39.01.200.0000,"0,00 "
08.001.12.361.0016.2.011.3.3.90.39.01.200.0000,"2.492.000,00 "
08.001.12.361.0016.2.011.3.3.90.39.01.200.0000,"482.016,00 "
08.001.12.361.0016.2.011.3.3.90.39.01.200.0000,"1,00 "
08.001.12.361.0016.2.018.3.3.90.40.01.200.0000,"4.122.195,00 "
08.001.12.361.0016.2.018.3.3.90.40.01.200.0000,"5.400.977,00 "
08.001.12.361.0016.2.018.4.4.50.52.01.200.0000,"2.166.667,00 "
08.001.12.361.0016.2.018.4.4.90.52.01.200.0000,"0,00 "
08.001.12.365.0001.2.001.3.1.90.11.01.110.0000,"1,00 "
08.001.12.365.0001.2.001.3.1.90.11.01.200.0000,"127.592.141,00 "
08.001.12.365.0001.2.001.3.1.90.11.02.261.0000,"281.984.771,00 "
08.001.12.365.0001.2.001.3.1.90.11.02.262.0000,"3,00 "
08.001.12.365.0001.2.001.3.1.90.13.01.200.0000,"4.533.428,00 "
08.001.12.365.0001.2.001.3.1.90.13.02.261.0000,"11.334.344,00 "
08.001.12.365.0001.2.001.3.1.90.13.02.262.0000,"3,00 "
08.001.12.365.0001.2.001.3.1.91.13.01.200.0000,"5.290.923,00 "
08.001.12.365.0001.2.001.3.1.91.13.02.261.0000,"65.436.492,00 "
08.001.12.365.0001.2.001.3.1.91.13.02.262.0000,"3,00 "
08.001.12.365.0001.2.001.3.1.90.13.01.110.0000,"1,00 "
08.001.12.365.0001.2.001.3.1.91.13.01.110.0000,"1,00 "
08.001.12.365.0001.2.001.3.1.91.13.02.264.2024,"0,00 "
08.001.12.365.0001.2.001.3.3.90.46.01.200.0000,"50.745.513,00 "
08.001.12.365.0001.2.001.3.3.90.46.02.262.0000,"5,00 "
08.001.12.365.0001.2.001.3.3.90.49.01.200.0000,"7.745.545,00 "
08.001.12.365.0002.2.005.3.3.90.39.01.110.0000,"0,00 "
08.001.12.365.0002.2.005.3.3.90.39.01.200.0000,"103.575,00 "
08.001.12.365.0016.2.011.3.3.90.30.01.200.0000,"1,00 "
08.001.12.365.0016.2.011.3.3.90.30.01.200.0000,"0,00 "
08.001.12.365.0016.2.011.3.3.90.30.01.110.0000,"1.809.702,00 "
08.001.12.365.0016.2.011.3.3.90.30.01.200.0000,"1,00 "
08.001.12.365.0016.2.011.3.3.90.39.01.110.0000,"2.148.000,00 "
08.001.12.365.0016.2.011.3.3.90.39.01.200.0000,"1,00 "
08.001.12.366.0001.2.001.3.1.90.11.01.200.0000,"3,00 "
08.001.12.366.0001.2.001.3.1.90.11.02.261.0000,"1.671.714,00 "
08.001.12.366.0001.2.001.3.1.90.13.01.200.0000,"3,00 "
08.001.12.366.0001.2.001.3.1.91.13.01.200.0000,"567.024,00 "
08.001.12.366.0001.2.001.3.1.91.13.02.262.0000,"3,00 "
08.001.12.366.0001.2.001.3.3.90.46.01.200.0000,"290.298,00 "
08.001.12.366.0001.2.001.3.3.90.49.01.200.0000,"20.331,00 "
09.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"100.000,00 "
09.001.04.131.0002.2.005.3.3.90.30.01.310.0000,"100.000,00 "
09.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"50.000,00 "
09.001.04.131.0002.2.005.3.3.90.39.01.310.0000,"50.000,00 "
09.001.10.122.0001.2.001.3.1.90.11.01.110.0000,"1.187.372,00 "
09.001.10.122.0001.2.001.3.1.90.11.01.310.0000,"367.097.792,00 "
09.001.10.122.0001.2.001.3.1.90.11.01.110.0000,"0,00 "
09.001.10.122.0001.2.001.3.1.90.11.05.370.0000,"732.000,00 "
09.001.10.122.0001.2.001.3.1.90.13.01.110.0000,"1,00 "
09.001.10.122.0001.2.001.3.1.90.13.01.310.0000,"5.585.751,00 "
09.001.10.122.0001.2.001.3.1.91.13.01.110.0000,"1,00 "
09.001.10.122.0001.2.001.3.1.91.13.01.110.0000,"0,00 "
09.001.10.122.0001.2.001.3.1.91.13.01.310.0000,"52.644.065,00 "
09.001.10.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
09.001.10.122.0001.2.001.3.3.90.46.01.310.0000,"42.733.489,00 "
09.001.10.122.0001.2.001.3.3.90.49.01.110.0000,"5.250.468,00 "
09.001.10.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
09.001.10.304.0001.2.001.3.1.90.11.05.303.0000,"2,00 "
09.001.10.304.0001.2.001.3.1.90.11.05.313.0000,"8.973.256,00 "
09.001.10.304.0001.2.001.3.1.90.13.01.310.0000,"3.305.486,00 "
09.001.10.304.0001.2.001.3.1.90.13.05.303.0000,"2,00 "
09.001.10.304.0001.2.001.3.1.91.13.01.310.0000,"807.951,00 "
09.001.10.304.0001.2.001.3.1.91.13.05.303.0000,"2,00 "
09.001.10.304.0001.2.001.3.3.90.49.01.310.0000,"142.246,00 "
09.001.10.304.0001.2.001.3.3.90.49.05.303.0000,"138.245,00 "
09.001.10.305.0001.2.001.3.1.90.11.01.310.0000,"300.970,00 "
09.001.10.305.0001.2.001.3.1.90.11.05.313.0000,"9.223.928,00 "
09.001.10.305.0001.2.001.3.1.90.13.01.110.0000,"1,00 "
09.001.10.305.0001.2.001.3.1.90.13.01.310.0000,"1.448.254,00 "
09.001.10.305.0001.2.001.3.1.90.13.05.313.0000,"1.655.145,00 "
09.001.10.305.0001.2.001.3.1.91.13.01.310.0000,"807.951,00 "
09.001.10.305.0001.2.001.3.1.91.13.05.313.0000,"1.461.430,00 "
09.001.10.305.0001.2.001.3.3.90.46.01.310.0000,"1.827.976,00 "
09.001.10.305.0001.2.001.3.3.90.49.01.110.0000,"155.287,00 "
09.001.10.305.0001.2.001.3.3.90.49.05.313.0000,"128.234,00 "
09.001.10.305.0001.2.001.3.3.90.49.01.300.0000,"72.000,00 "
09.001.10.305.0001.2.001.3.3.90.49.01.310.0000,"856.400,00 "
09.006.10.302.0015.2.014.3.3.90.30.01.110.0000,"4.500,00 "
09.008.10.301.0015.2.012.3.3.90.30.08.310.0000,"70.000,00 "
09.008.10.301.0015.2.012.3.3.90.39.01.110.0000,"230.853,00 "
09.008.10.301.0015.2.012.3.3.90.39.01.110.0000,"49.999,00 "
09.008.10.301.0015.2.012.3.3.90.39.01.310.0000,"1,00 "
09.008.10.301.0015.2.012.3.3.90.39.01.110.0000,"749.999,00 "
09.008.10.301.0015.2.012.3.3.90.39.01.310.0000,"1,00 "
09.009.10.302.0015.2.013.3.3.90.39.08.310.0000,"100.000,00 "
09.009.10.302.0015.2.013.3.3.90.30.01.110.0000,"199.999,00 "
09.009.10.302.0015.2.013.3.3.90.30.01.310.0000,"1,00 "
09.009.10.302.0015.2.013.3.3.90.39.01.110.0000,"499.999,00 "
09.009.10.302.0015.2.013.3.3.90.39.01.310.0000,"1,00 "
09.009.10.302.0015.2.013.3.3.90.30.02.310.0000,"26.548,00 "
09.010.10.302.0015.2.014.3.3.90.30.01.310.0000,"73.991,00 "
09.010.10.302.0015.2.014.3.3.90.39.01.110.0000,"474.000,00 "
09.010.10.302.0015.2.014.3.3.90.39.01.110.0000,"176.399,00 "
09.010.10.302.0015.2.014.3.3.90.39.01.310.0000,"1,00 "
09.010.10.302.0015.2.014.3.3.90.30.01.110.0000,"0,00 "
09.010.10.302.0015.2.014.3.3.90.30.01.310.0000,"0,00 "
09.010.10.302.0015.2.014.3.3.90.39.01.110.0000,"999.999,00 "
09.010.10.302.0015.2.014.3.3.90.39.01.310.0000,"1,00 "
09.010.10.302.0015.2.014.3.3.90.39.08.310.0000,"16.187.371,00 "
09.012.10.303.0014.2.011.3.3.90.30.01.110.0000,"3.243.764,00 "
09.012.10.303.0014.2.011.3.3.90.30.05.304.0000,"1.756.236,00 "
09.012.10.303.0014.2.011.3.3.90.30.02.300.0000,"1.464.000,00 "
09.012.10.303.0014.2.011.3.3.90.30.01.110.0000,"221.190,00 "
09.012.10.303.0014.2.011.4.4.90.52.01.110.0000,"100.000,00 "
09.012.10.303.0014.2.011.3.3.90.30.08.310.0000,"0,00 "
09.012.10.303.0014.2.011.3.3.90.30.01.110.0000,"2.677.985,00 "
09.012.10.303.0014.2.011.3.3.90.30.02.300.0000,"150.200,00 "
09.012.10.303.0014.2.011.3.3.90.30.02.310.0000,"2.794.245,00 "
09.012.10.303.0014.2.011.3.3.90.32.01.110.0000,"0,00 "
09.012.10.303.0014.2.011.3.3.90.32.01.110.0000,"11.000.000,00 "
09.012.10.303.0014.2.011.3.3.90.32.01.310.0000,"0,00 "
09.012.10.303.0014.2.011.3.3.90.32.02.300.0000,"0,00 "
09.012.10.303.0014.2.011.3.3.90.32.05.304.0000,"0,00 "
09.012.10.303.0014.2.011.3.3.90.30.01.110.0000,"1,00 "
09.012.10.303.0014.2.011.3.3.90.30.01.310.0000,"1,00 "
09.012.10.303.0014.2.011.3.3.90.32.01.110.0000,"5.999.997,00 "
09.012.10.303.0014.2.011.3.3.90.32.01.310.0000,"1,00 "
09.012.10.303.0014.2.011.3.3.90.39.01.110.0000,"1,00 "
09.012.10.303.0014.2.011.3.3.90.39.01.310.0000,"37.190.828,00 "
09.012.10.303.0014.2.011.3.3.90.39.02.300.0000,"2.186.741,00 "
09.012.10.303.0014.2.011.3.3.90.39.05.304.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.30.01.110.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.30.01.110.0000,"499.999,00 "
09.015.10.122.0014.2.011.3.3.90.39.01.110.0000,"249.999,00 "
09.015.10.122.0014.2.011.3.3.90.39.01.310.0000,"1,00 "
09.015.10.122.0014.2.011.3.3.90.39.01.110.0000,"249.999,00 "
09.015.10.122.0014.2.011.3.3.90.39.01.310.0000,"1,00 "
09.015.10.122.0014.2.011.3.3.90.30.01.110.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.30.01.310.0000,"29.461,00 "
09.015.10.122.0014.2.011.3.3.90.30.01.310.0000,"1,00 "
09.015.10.122.0014.2.011.3.3.90.30.01.310.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.30.02.310.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.30.02.310.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.30.02.310.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.30.02.310.0000,"59.181,00 "
09.015.10.122.0014.2.011.3.3.90.30.05.301.0000,"970.539,00 "
09.015.10.122.0014.2.011.3.3.90.30.05.301.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.30.05.301.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.39.01.110.0000,"499.999,00 "
09.015.10.122.0014.2.011.3.3.90.39.01.110.0000,"1.420.332,00 "
09.015.10.122.0014.2.011.3.3.90.39.01.310.0000,"1,00 "
09.015.10.122.0014.2.011.3.3.90.39.02.310.0000,"0,00 "
09.015.10.122.0014.2.011.3.3.90.39.05.301.0000,"0,00 "
11.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"25.516.647,00 "
11.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"1.789.437,00 "
11.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"3.124.773,00 "
11.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"10,00 "
11.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"517.412,00 "
11.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"0,00 "
11.001.04.122.0011.1.002.3.3.90.39.01.110.0000,"1,00 "
11.001.04.122.0011.1.002.3.3.90.39.01.110.0000,"5.300.000,00 "
11.001.04.122.0011.1.002.4.4.90.52.01.110.0000,"0,00 "
11.001.04.122.0011.2.011.3.3.90.30.01.110.0000,"600.000,00 "
11.001.04.122.0011.2.011.3.3.90.30.01.110.0000,"70.000,00 "
11.001.04.122.0011.2.011.3.3.90.30.01.110.0000,"0,00 "
11.001.04.122.0011.2.011.3.3.90.39.01.110.0000,"120.000,00 "
11.001.04.122.0011.2.011.3.3.90.39.01.110.0000,"2.500.000,00 "
11.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"2.500,00 "
11.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"7.000,00 "
11.001.15.452.0011.2.038.3.3.90.30.01.100.0002,"600.000,00 "
11.001.15.452.0011.2.038.3.3.90.39.01.100.0002,"9.141.557,00 "
11.001.15.452.0011.2.038.3.3.90.39.01.100.0002,"13.380.173,00 "
11.001.15.452.0011.2.038.3.3.90.39.01.110.0000,"1,00 "
11.001.18.544.0005.2.035.3.3.90.39.01.110.0000,"18.729.982,00 "
11.001.18.544.0005.2.035.3.3.90.39.01.140.0000,"8.664.000,00 "
11.014.04.122.0011.2.011.3.3.90.30.03.100.1103 ,"35.000,00 "
11.014.04.122.0011.2.011.3.3.90.30.03.100.1103 ,"700.000,00 "
11.014.04.122.0011.2.011.3.3.90.39.01.110.0000,"1,00 "
11.014.04.122.0011.2.011.3.3.90.39.03.100.1102,"1.704.097,00 "
11.014.04.122.0011.2.011.3.3.90.39.03.100.1103,"1,00 "
11.014.04.122.0011.2.011.3.3.90.39.03.100.1102,"9.822.032,00 "
11.014.04.122.0011.2.011.3.3.90.39.03.100.1103,"1.388.298,00 "
11.014.04.122.0011.2.011.3.3.90.39.03.100.1111,"0,00 "
12.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"13.892.388,00 "
12.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"1.166.506,00 "
12.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"1.885.993,00 "
12.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
12.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"152.458,00 "
12.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
12.001.04.128.0002.2.003.3.3.90.30.01.110.0000,"1,00 "
12.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"135.651,00 "
12.001.04.131.0002.2.005.3.3.90.39.03.100.1201,"10.889,00 "
12.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"1,00 "
12.001.27.811.0010.2.030.3.3.90.30.01.110.0000,"733.458,00 "
12.001.27.811.0010.2.030.3.3.90.30.03.100.1201,"1.111,00 "
12.001.27.811.0010.2.030.3.3.90.30.08.110.0000,"12.500,00 "
12.001.27.811.0010.2.030.3.3.90.30.08.110.0000,"10.000,00 "
12.001.27.811.0010.2.030.3.3.90.39.08.110.0000,"10.000,00 "
12.001.27.811.0010.2.030.3.3.90.30.08.110.0000,"100.000,00 "
12.001.27.811.0010.2.030.3.3.90.39.08.110.0000,"100.000,00 "
12.001.27.811.0010.2.030.3.3.90.39.08.110.0000,"12.500,00 "
12.001.27.811.0010.2.030.3.3.90.30.08.110.0000,"25.000,00 "
12.001.27.811.0010.2.030.3.3.90.39.08.110.0000,"25.000,00 "
12.001.27.812.0010.2.011.3.3.90.30.01.110.0000,"0,00 "
12.001.27.812.0010.2.011.3.3.90.30.01.110.0000,"112.830,00 "
12.001.27.812.0010.2.011.3.3.90.39.01.110.0000,"0,00 "
12.001.27.812.0010.2.011.3.3.90.39.01.110.0000,"0,00 "
12.001.27.812.0010.2.028.3.3.90.30.08.110.0000,"68.334,00 "
12.001.27.812.0010.2.028.3.3.90.39.08.110.0000,"68.334,00 "
12.001.27.812.0010.2.028.4.4.90.52.08.110.0000,"68.334,00 "
12.001.27.812.0010.2.028.3.3.90.30.01.110.0000,"0,00 "
12.001.27.812.0010.2.031.3.3.90.30.01.110.0000,"58.659,00 "
12.001.27.812.0010.2.031.3.3.90.31.08.110.0000,"100.000,00 "
12.001.27.812.0010.2.031.3.3.90.39.08.110.0000,"16.667,00 "
12.001.27.812.0010.2.031.3.3.90.30.08.110.0000,"16.667,00 "
12.001.27.812.0010.2.031.4.4.90.52.08.110.0000,"16.667,00 "
12.001.27.812.0010.2.031.3.3.50.39.08.110.0000,"250.000,00 "
12.001.27.812.0010.2.032.3.3.90.30.01.110.0000,"166.757,00 "
12.001.27.812.0010.2.032.3.3.90.30.01.110.0000,"1,00 "
13.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"12.822.303,00 "
13.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"1.353.553,00 "
13.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"1.068.807,00 "
13.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
13.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"60.224,00 "
13.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
13.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"40.000,00 "
13.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"30.000,00 "
13.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"80.000,00 "
13.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"30.000,00 "
13.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"0,00 "
13.001.04.131.0002.2.005.3.3.90.30.01.110.0000,"7.500,00 "
13.001.04.131.0002.2.005.3.3.90.39.01.110.0000,"10.000,00 "
14.001.04.122.0001.2.001.3.1.90.11.01.110.0000,"34.590.363,00 "
14.001.04.122.0001.2.001.3.1.90.13.01.110.0000,"3.047.491,00 "
14.001.04.122.0001.2.001.3.1.91.13.01.110.0000,"6.805.995,00 "
14.001.04.122.0001.2.001.3.3.90.46.01.110.0000,"2,00 "
14.001.04.122.0001.2.001.3.3.90.49.01.110.0000,"995.933,00 "
14.001.04.122.0001.2.006.3.3.90.33.01.110.0000,"1,00 "
14.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"0,00 "
14.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"20.000,00 "
14.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"50.000,00 "
14.001.04.131.0001.2.005.3.3.90.30.01.110.0000,"15.000,00 "
14.001.04.131.0002.2.005.3.3.90.30.01.500.0000,"10.000,00 "
14.001.04.131.0002.2.005.3.3.90.39.01.500.0000,"50.000,00 "
14.005.04.131.0002.2.005.3.3.90.30.02.500.1402,"76.667,00 "
14.005.04.131.0002.2.005.3.3.90.30.05.500.0000,"76.667,00 "
14.005.08.245.0018.2.005.3.3.90.30.01.500.0000,"100.000,00 "
14.005.08.245.0018.2.005.3.3.90.30.01.500.0000,"50.000,00 "
14.005.08.245.0018.2.005.3.3.90.30.02.500.1402,"150.000,00 "
14.005.08.245.0018.2.005.3.3.90.30.02.500.1402,"300.000,00 "
14.005.08.245.0018.2.005.3.3.90.30.05.500.0000,"10.000,00 "
14.005.08.245.0018.2.005.3.3.90.39.01.500.0000,"100.000,00 "
14.005.08.245.0018.2.005.3.3.90.39.01.500.0000,"50.000,00 "
14.005.08.245.0018.2.005.3.3.90.39.02.500.1402,"150.000,00 "
