PROGRAMÁTICA,VALOR FINAL ARREDONDADO
30.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"1,00 "
30.001.04.122.0001.2.011.4.4.90.52.08.110.0000,"100.001,00 "
30.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"1,00 "
30.001.04.122.0001.2.011.4.4.90.52.01.110.0000,"1,00 "
31.001.14.422.0018.2.011.3.3.90.30.01.110.0000,"3.000,00 "
31.001.14.422.0018.2.011.3.3.90.39.01.110.0000,"3.000,00 "
31.001.14.422.0018.2.011.4.4.90.52.01.110.0000,"0,00 "
32.001.14.422.0018.2.011.4.4.90.52.08.110.0000,"62.160,00 "
32.001.14.422.0018.2.011.3.3.90.30.01.110.0000,"1,00 "
32.001.14.422.0018.2.011.3.3.90.39.01.110.0000,"1,00 "
33.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"9.000,00 "
34.001.04.126.0002.2.007.4.4.90.52.08.110.0000,"30.000,00 "
34.001.04.126.0002.2.007.4.4.90.52.08.110.0000,"290.000,00 "
35.001.04.122.0001.2.011.3.3.90.30.01.110.0000,"2.000,00 "
35.001.04.122.0001.2.011.3.3.90.39.01.110.0000,"2.000,00 "
35.001.04.122.0001.2.011.4.4.90.52.01.110.0000,"1,00 "
36.001.08.244.0019.2.011.3.3.90.39.01.110.0000,"0,00 "
36.001.08.244.0019.2.011.4.4.90.52.01.110.0000,"0,00 "
01.001.01.031.0003.1.003.3.3.90.39.01.110.0000,"2.000.000,00 "
01.001.01.031.0003.1.003.3.3.90.92.01.110.0000,"1,00 "
01.001.01.031.0003.1.003.3.3.90.93.01.110.0000,"1,00 "
01.001.01.031.0003.1.003.4.4.90.51.01.110.0000,"8.999.997,00 "
01.001.01.031.0003.1.003.4.4.90.52.01.110.0000,"2.000.000,00 "
01.001.01.031.0003.1.003.4.4.90.92.01.110.0000,"1,00 "
02.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"0,00 "
02.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
02.006.04.122.0018.1.002.3.3.90.39.01.110.0000,"0,00 "
04.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
08.001.12.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
08.001.12.122.0001.2.011.3.3.50.39.08.110.0000,"150.000,00 "
08.001.12.122.0001.1.002.3.3.90.39.08.110.0000,"1,00 "
08.001.12.122.0001.1.002.4.4.90.51.08.110.0000,"14.999,00 "
08.001.12.122.0001.1.002.3.3.90.39.08.110.0000,"1,00 "
08.001.12.122.0001.1.002.4.4.90.51.08.110.0000,"49.999,00 "
08.001.12.122.0001.1.002.3.3.90.39.08.110.0000,"1,00 "
08.001.12.122.0001.1.002.4.4.90.51.08.110.0000,"49.999,00 "
08.001.12.367.0016.2.019.3.3.90.30.08.110.0000,"52.000,00 "
08.001.12.367.0016.2.019.4.4.90.52.08.110.0000,"52.000,00 "
09.008.10.301.0015.1.002.3.3.90.39.08.310.0000,"250.000,00 "
09.008.10.301.0015.1.002.4.4.90.52.08.310.0000,"50.000,00 "
09.009.10.302.0015.2.013.3.3.90.30.08.310.0000,"150.000,00 "
09.009.10.302.0015.2.013.3.3.90.30.08.310.0000,"50.000,00 "
09.009.10.302.0015.2.013.3.3.90.39.08.310.0000,"200.000,00 "
09.009.10.302.0015.2.013.3.3.90.40.08.310.0000,"90.000,00 "
09.009.10.302.0015.2.013.4.4.90.52.08.310.0000,"150.000,00 "
09.009.10.302.0015.2.013.4.4.90.52.08.310.0000,"50.000,00 "
09.009.10.302.0015.2.013.4.4.90.52.08.310.0000,"82.499,00 "
09.010.10.302.0015.2.023.3.3.50.85.08.310.0000,"2.278.338,00 "
09.012.10.303.0014.2.011.3.3.90.30.08.310.0000,"1.999.999,00 "
09.012.10.303.0014.2.011.3.3.90.32.08.310.0000,"1,00 "
11.001.04.122.0011.1.002.3.3.90.39.08.110.0000,"91.669,00 "
11.001.04.122.0011.1.002.3.3.90.39.08.110.0000,"120.000,00 "
11.001.04.122.0011.1.002.3.3.90.39.01.110.0000,"0,00 "
11.001.04.122.0011.1.002.4.4.90.52.01.110.0000,"0,00 "
11.001.15.452.0013.2.034.4.4.90.52.08.110.0000,"100.000,00 "
11.001.15.452.0013.2.034.3.3.90.39.08.110.0000,"100.000,00 "
13.001.04.122.0001.1.002.3.3.90.30.01.110.0000,"0,00 "
13.001.04.122.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
13.001.04.122.0001.1.002.4.4.90.52.01.110.0000,"0,00 "
14.001.08.245.0001.1.002.3.3.90.39.01.110.0000,"1,00 "
14.001.08.245.0001.1.002.4.4.90.51.01.110.0000,"0,00 "
